scale,mean_mae,sd_mae,ci_low,ci_high,folds_better_than_scale0
0.0,1.2100360749959944,0.06320425115090621,1.1836953852117063,1.2322963102310898,0
0.005,1.2101721453666687,0.06319902178242476,1.1848351065516474,1.2327827087402343,8
0.01,1.2103212747573853,0.06319166487859902,1.1835568218439818,1.2327687593072651,8
0.025,1.210862472653389,0.06313981569901155,1.184696731507778,1.233435396951437,8
0.05,1.212000329732895,0.06304411408100775,1.1861700340926646,1.2346899119645358,8
0.075,1.2134065264463425,0.0629449996564127,1.1883656747162343,1.2356071538895368,7
0.1,1.2151596441268921,0.0628275894467323,1.1895669117182492,1.2373156339585778,6
