method,n_participants,overlap_count,any_hit,exact_match,jaccard,precision_at_3,overlap_ci_low,overlap_ci_high
T0_full_form_reference,15,0.8,0.6,0.0,0.18,0.26666666666666666,0.4,1.2
T1_questionnaire_heldout,15,0.4666666666666667,0.3333333333333333,0.0,0.10666666666666666,0.15555555555555556,0.13333333333333333,0.8666666666666667
T2_fixed_scale_005_fusion,15,0.4666666666666667,0.3333333333333333,0.0,0.10666666666666666,0.15555555555555556,0.13333333333333333,0.8666666666666667
T3_nested_selected_fusion,15,0.4666666666666667,0.3333333333333333,0.0,0.10666666666666666,0.15555555555555556,0.13333333333333333,0.8666666666666667
